분류,태그,제목,URL,아티클 작성 일자,추천 사유,작성자
소프트스킬,AI,"PMI, 2024 글로벌 프로젝트 직무 관리동향 보고서 발표",https://www.cio.com/article/3521620/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8-%EB%A7%A4%EB%8B%88%EC%A0%80-21%EA%B0%80-ai-%ED%99%9C%EC%9A%A9%C2%B7%C2%B7%C2%B7-pmi-2024-%EA%B8%80%EB%A1%9C%EB%B2%8C-%ED%94%84%EB%A1%9C%EC%A0%9D.html,05/20/2024,PM의 요즘 트렌드!,
소프트스킬,문제해결역량,프로젝트 관리자(PM)의 가장 중요한 덕목은 무엇인가?,https://www.cio.com/article/3615190/%EC%A0%95%EC%B2%A0%ED%99%98-%EC%B9%BC%EB%9F%BC-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8-%EA%B4%80%EB%A6%AC%EC%9E%90pm%EC%9D%98-%EA%B0%80%EC%9E%A5-%EC%A4%91%EC%9A%94%ED%95%9C-%EB%8D%95%EB%AA%A9.html,12/01/2024,"PM으로써 자존감이 높아지는 이야기, 우린 대단한 사람이 될 수 있어요.",
소프트스킬,커뮤니케이션,디자이너가 협업하고 싶은 PM,https://brunch.co.kr/@designmonkey/5?utm_source=oneoneone,04/22/2023,디자인만큼 수정이 많은 작업이 없는데 웃으면서 일해야죠 😀,
소프트스킬,디자인,2024년 UX/UI 디자인 트렌드,https://yozm.wishket.com/magazine/detail/2412/,01/11/2024,디자인도 트렌드를 훑어봐야지 나중에 기획서 스케치 할 때 도움이 된 답니다. 아 진짜로요!,
소프트스킬,문제해결역량,2년차 PM의 하루,https://brunch.co.kr/@leesy0203/5,03/12/2024,누가 내 얘기를 써놨어요,
소프트스킬,비즈니스,브라이언 체스키가 Airbnb에서 PM을 없애버린 이유,https://maily.so/josh/posts/5xrx17lyz2v,01/06/2025,"자극적인 제목이지만, 우리가 하고자 하는 일에 대한 중요성을 다시끔 깨달을 수 있습니다.",
소프트스킬,비즈니스,정말 디자이너가 PM대신 비즈니스를 리드해야 할까요? (feat. 실리콘밸리 리더 5인),https://maily.so/josh/posts/32z8pplvrn4,01/06/2025,주어진 이름과 정의보다 중요한 건 ‘본질’,
소프트스킬,문제해결역량,팀원을 설득하는 리더의 소프트 스킬,https://brunch.co.kr/@goodgdg/168,06/26/2022,기획서에 설득력까지 얹으면 글과 말을 모두 잘하는 사람이 되는 겁니다!,
소프트스킬,비즈니스,역량만 있어선 안 된다… IT 프로젝트가 여전히 실패하는 8가지 이유,https://www.cio.com/article/3519859/%EC%97%AD%EB%9F%89%EB%A7%8C-%EC%9E%88%EC%96%B4%EC%84%A0-%EC%95%88-%EB%90%9C%EB%8B%A4-it-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%EA%B0%80-%EC%97%AC%EC%A0%84%ED%9E%88-%EC%8B%A4%ED%8C%A8%ED%95%98.html,01/26/2022,,
소프트스킬,기획,PRD(제품 요구사항 정의서)의 모든 것,https://brunch.co.kr/@sparkplus/566?utm_source=oneoneone,04/24/2023,"진짜 일을 하게 되면 
이런 준비단계도 하게 될 거에요.
바로 넘어갈 수도 있지만 이 단계도 있다는 것을 알아두세요!",
소프트스킬,비즈니스,토스는 어떻게 슈퍼앱이 되었을까?,https://yozm.wishket.com/magazine/detail/2633/,06/17/2024,하나의 장르로 생겨버린 핀테크. 괜히 전문적인 분야가 아니라구요. 여기서 배울건 ‘금융’ 이라는 어려운 분야를 쉽게 유저들에게 다가갈수 있게 노력했다는 걸 알아야 합니다,
소프트스킬,기획,기획자로서 알아야 하는 앱 개발 유형,https://brunch.co.kr/@pak6477/15,02/20/2022,"이게 매운 라면인지, 하얀국물 라면인지는 알아야 하잖아요… 어플도 개발 종류가 있답니다",
소프트스킬,,삶의 질을 높여주는 10가지 UX 사례(7탄),https://brunch.co.kr/@maju/71,06/30/2025,,
소프트스킬,기획,"커뮤니티 서비스 만들지 마세요, 어차피 실패합니다",https://yozm.wishket.com/magazine/detail/2422/,01/18/2024,,
소프트스킬,문제해결역량,구글코리아 첫 번째 PM이 국회의원 된 사연,https://yozm.wishket.com/magazine/detail/3285/,08/24/2025,,
소프트스킬,문제해결역량,취업이 힘들수록 질문하는 사람이 살아남는다,https://yozm.wishket.com/magazine/detail/3201/,06/24/2025,,
소프트스킬,문제해결역량,구글 클라우드 기반 기업용 AI 구축하기,https://yozm.wishket.com/magazine/detail/3203/,06/26/2025,,
소프트스킬,"기획, 디자인",유저 플로우 케이스 스터디:AI로 통합하는 독서 경험,https://yozm.wishket.com/magazine/detail/1524/,06/13/2022,,
소프트스킬,,[서비스 기획자 (PM)가 하는 일] MVP 기획과 검증,https://prime-career.tistory.com/entry/%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B8%B0%ED%9A%8D%EC%9E%90-PM%EA%B0%80-%ED%95%98%EB%8A%94-%EC%9D%BC-MVP-%EA%B8%B0%ED%9A%8D%EA%B3%BC-%EA%B2%80%EC%A6%9D,03/31/2025,,
소프트스킬,,속성을 활용한 추천 고도화 : Part 2. 무신사가 개인화 추천을 하는 방법,https://medium.com/musinsa-tech/%EC%86%8D%EC%84%B1%EC%9D%84-%ED%99%9C%EC%9A%A9%ED%95%9C-%EC%B6%94%EC%B2%9C-%EA%B3%A0%EB%8F%84%ED%99%94-part-2-%EB%AC%B4%EC%8B%A0%EC%82%AC%EA%B0%80-%EA%B0%9C%EC%9D%B8%ED%99%94-%EC%B6%94%EC%B2%9C%EC%9D%84-%ED%95%98%EB%8A%94-%EB%B0%A9%EB%B2%95-71f7aeb1dc5d,07/24/2024,,
소프트스킬,,"오늘 읽었던 아티클을 나만의 언어로 정리해 봅시다. 이름(블록 복사 후 개별 작성) ",,,,
소프트스킬,,리더와 실무진을 설득하는 PRD 작성 마스터하기 (ft. PO & PM Lounge) 회고,https://wow-moment.tistory.com/13,02/17/2024,,
소프트스킬,취업,작은 경험으로 합격하는 PM 포트폴리오 만드는 팁,https://brunch.co.kr/@ny0303/126,06/09/2025,,
소프트스킬,"AI툴, 데이터","UX 데이터 분석부터 퍼소나 생성까지, 어피니티버블 사용기",https://yozm.wishket.com/magazine/detail/3671/,03/24/2026,,
